"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-05",2012-01-30,2012-02-05,"Tuscany",9,43.76923077,11.25588885,48,456,60918,"7.49",64,"20.06",108,"16.22",236,"6.42",48,"3.35"
"2012-05",2012-01-30,2012-02-05,"Umbria",10,43.10675841,12.38824698,13,142,15903,"8.93",47,"30.94",56,"17.2",32,"4.02",7,"2.22"
"2012-05",2012-01-30,2012-02-05,"Marche",11,43.61675973,13.5188753,17,384,20045,"19.16",167,"60.07",129,"25.45",75,"8.63",13,"3.71"
"2012-05",2012-01-30,2012-02-05,"Lazio",12,41.89277044,12.48366722,65,1125,82972,"13.56",223,"39.37",250,"23.56",577,"11.33",75,"4.76"
"2012-05",2012-01-30,2012-02-05,"Abruzzo",13,42.35122196,13.39843823,18,177,17763,"9.96",53,"27.72",78,"20.61",39,"4.35",7,"2.26"
"2012-05",2012-01-30,2012-02-05,"Molise",14,41.55774754,14.5916051,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2012-05",2012-01-30,2012-02-05,"Campania",15,40.83956555,14.25084984,29,601,34760,"17.29",139,"46.12",190,"25.44",235,"12.3",37,"7.15"
"2012-05",2012-01-30,2012-02-05,"Apulia",16,41.12559576,16.86736689,121,1028,157775,"6.52",180,"20.59",282,"16.03",494,"4.82",72,"2.48"
"2012-05",2012-01-30,2012-02-05,"Basilicata",17,40.63947052,15.80514834,1,14,1503,"9.31",0,"0",2,"76.92",10,"8.66",2,"6.21"
"2012-05",2012-01-30,2012-02-05,"Calabria",18,38.90597598,16.59440194,16,148,21348,"6.93",42,"18.88",63,"13.75",39,"3.42",4,"1.28"
"2012-05",2012-01-30,2012-02-05,"Sicily",19,38.11569725,13.3623567,43,377,58499,"6.44",39,"30.85",65,"22.06",216,"5.16",57,"4.57"
"2012-05",2012-01-30,2012-02-05,"Sardinia",20,39.21531192,9.110616306,8,61,7790,"7.83",35,"25.4",18,"5.94",8,"3.34",0,"0"
"2012-06",2012-02-06,2012-02-12,"Piedmont",1,45.0732745,7.680687483,39,485,50886,"9.53",53,"18.66",76,"13.21",299,"9.65",57,"5.04"
