"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-08-12,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-12,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-12,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-12,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-12,"Veneto",5,45.43490485,12.33845213,2,44
2022-08-16,"Abruzzo",13,42.35122196,13.39843823,0,2
2022-08-16,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-16,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-16,"Campania",15,40.83956555,14.25084984,0,21
2022-08-16,"Emilia-Romagna",8,44.49436681,11.3417208,1,70
2022-08-16,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,11
2022-08-16,"Lazio",12,41.89277044,12.48366722,3,121
2022-08-16,"Liguria",7,44.41149315,8.9326992,0,13
2022-08-16,"Lombardia",3,45.46679409,9.190347404,8,291
2022-08-16,"Marche",11,43.61675973,13.5188753,0,4
2022-08-16,"Molise",14,41.55774754,14.65916051,0,0
2022-08-16,"Piemonte",1,45.0732745,7.680687483,0,25
2022-08-16,"Puglia",16,41.12559576,16.86736689,1,14
2022-08-16,"Sardegna",20,39.21531192,9.110616306,1,4
2022-08-16,"Sicilia",19,38.11569725,13.3623567,1,5
2022-08-16,"Toscana",9,43.76923077,11.25588885,1,31
2022-08-16,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-16,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-16,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-16,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-16,"Veneto",5,45.43490485,12.33845213,2,46
2022-08-19,"Abruzzo",13,42.35122196,13.39843823,0,2
2022-08-19,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-19,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-19,"Campania",15,40.83956555,14.25084984,8,29
2022-08-19,"Emilia-Romagna",8,44.49436681,11.3417208,2,72
2022-08-19,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,11
2022-08-19,"Lazio",12,41.89277044,12.48366722,4,125
2022-08-19,"Liguria",7,44.41149315,8.9326992,2,15
2022-08-19,"Lombardia",3,45.46679409,9.190347404,6,297
2022-08-19,"Marche",11,43.61675973,13.5188753,0,4
2022-08-19,"Molise",14,41.55774754,14.65916051,0,0
2022-08-19,"Piemonte",1,45.0732745,7.680687483,1,26
2022-08-19,"Puglia",16,41.12559576,16.86736689,0,14
2022-08-19,"Sardegna",20,39.21531192,9.110616306,0,4
2022-08-19,"Sicilia",19,38.11569725,13.3623567,0,5
2022-08-19,"Toscana",9,43.76923077,11.25588885,2,33
2022-08-19,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-19,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-19,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-19,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-19,"Veneto",5,45.43490485,12.33845213,2,48
2022-08-23,"Abruzzo",13,42.35122196,13.39843823,0,2
2022-08-23,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-23,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-23,"Campania",15,40.83956555,14.25084984,2,31
2022-08-23,"Emilia-Romagna",8,44.49436681,11.3417208,1,73
2022-08-23,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,11
2022-08-23,"Lazio",12,41.89277044,12.48366722,3,128
2022-08-23,"Liguria",7,44.41149315,8.9326992,1,16
2022-08-23,"Lombardia",3,45.46679409,9.190347404,11,308
2022-08-23,"Marche",11,43.61675973,13.5188753,1,5
2022-08-23,"Molise",14,41.55774754,14.65916051,0,0
2022-08-23,"Piemonte",1,45.0732745,7.680687483,0,26
2022-08-23,"Puglia",16,41.12559576,16.86736689,2,16
2022-08-23,"Sardegna",20,39.21531192,9.110616306,0,4
2022-08-23,"Sicilia",19,38.11569725,13.3623567,0,5
2022-08-23,"Toscana",9,43.76923077,11.25588885,3,36
2022-08-23,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-23,"PA Trento",22,46.06893511,11.12123097,1,4
2022-08-23,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-23,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-23,"Veneto",5,45.43490485,12.33845213,0,48
2022-08-26,"Abruzzo",13,42.35122196,13.39843823,0,2
2022-08-26,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-26,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-26,"Campania",15,40.83956555,14.25084984,1,32
2022-08-26,"Emilia-Romagna",8,44.49436681,11.3417208,2,75
2022-08-26,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,11
2022-08-26,"Lazio",12,41.89277044,12.48366722,8,136
2022-08-26,"Liguria",7,44.41149315,8.9326992,0,16
2022-08-26,"Lombardia",3,45.46679409,9.190347404,10,318
2022-08-26,"Marche",11,43.61675973,13.5188753,0,5
2022-08-26,"Molise",14,41.55774754,14.65916051,0,0
2022-08-26,"Piemonte",1,45.0732745,7.680687483,0,26
2022-08-26,"Puglia",16,41.12559576,16.86736689,1,17
2022-08-26,"Sardegna",20,39.21531192,9.110616306,0,4
2022-08-26,"Sicilia",19,38.11569725,13.3623567,1,6
2022-08-26,"Toscana",9,43.76923077,11.25588885,2,38
2022-08-26,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-26,"PA Trento",22,46.06893511,11.12123097,0,4
2022-08-26,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-26,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-26,"Veneto",5,45.43490485,12.33845213,1,49
2022-08-30,"Abruzzo",13,42.35122196,13.39843823,0,2
